Year	Revenue ($B)	Gross Profit ($B)	Shares Outstanding (B)
2025*	416.16	192.21	14.82
2024	391.04	180.68	15.15
2023	383.29	169.15	15.55
2022	394.33	170.78	16.18
2021	365.82	152.84	16.7
2020	274.52	104.96	17.35
2019	260.17	98.39	18.47
2018	265.6	101.84	19.82
2017	229.23	88.19	20.87
2016	215.64	84.26	21.88
2015	233.72	93.63	23.08
2014	182.8	70.54	24.31
2013	170.91	64.3	25.14
2012	156.51	68.66	25.77
2011	108.25	43.82	26.04
2010	65.23	25.68	25.62
2009	42.91	17.22	25.02
2008	37.49	13.19	24.64
2007	24.58	8.24	24.28
2006	19.32	5.61	23.74
2005	13.93	4.04	22.84
2004	8.28	2.26	21.46
2003	6.21	1.71	20.61
2002	5.74	1.6	19.88
2001	5.36	1.23	19.1
2000	7.98	2.17	18.23
1999	6.13	1.7	17.14
1998	5.94	1.53	16.13
1997	7.08	1.34	14.22
1996	9.83	0.95	13.89
